symbol,company_name,sector,industry,data_date,open_price,high_price,low_price,close_price,volume,is_outlier,sma_7,ema_21,rsi_14,macd,bb_upper,bb_lower,macd_signal,macd_histogram,vol_sma_20,atr_14,micro_pe,micro_pb,micro_roe,micro_roa,micro_eps,micro_eps_ttm,micro_de,micro_current_ratio,micro_quick_ratio,micro_gross_margin,micro_net_profit_margin,fund_revenue,fund_net_profit,fund_total_assets,fund_total_equity,fund_revenue_growth,macro_vnindex_open,macro_vnindex_high,macro_vnindex_low,macro_vnindex_close,macro_vnindex_volume,macro_vn30_open,macro_vn30_high,macro_vn30_low,macro_vn30_close,macro_vn30_volume,macro_hnxindex_open,macro_hnxindex_high,macro_hnxindex_low,macro_hnxindex_close,macro_hnxindex_volume,macro_upcomindex_open,macro_upcomindex_high,macro_upcomindex_low,macro_upcomindex_close,macro_upcomindex_volume,news_headlines,event_headlines,google_news_headlines
ACB,Ngân hàng TMCP Á Châu,,,2025-04-01,21.730000,21.770000,21.640000,21.770000,3049500,False,21.822857,21.816864,46.381426,0.027137,22.215492,21.600508,0.072952,-0.045815,7568410.000000,0.224286,,,,,,,,,,,,,,,,,1313.030000,1317.460000,1308.060000,1317.330000,516351102,1369.180000,1376.910000,1363.600000,1376.910000,212343999,235.010000,236.500000,233.200000,236.420000,46287808,98.050000,98.490000,97.910000,98.470000,31890425,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
ACB,Ngân hàng TMCP Á Châu,,,2025-04-02,21.810000,21.890000,21.640000,21.680000,7480900,False,21.774286,21.804422,43.386919,0.013773,22.222739,21.576261,0.061116,-0.047343,7358920.000000,0.221429,,,,,,,,,,,,,,,,,1321.530000,1324.460000,1317.680000,1317.830000,668744030,1381.030000,1384.380000,1376.540000,1376.940000,236793252,236.430000,238.570000,236.050000,238.130000,49264256,98.470000,98.960000,98.400000,98.640000,37296794,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
ACB,Ngân hàng TMCP Á Châu,,,2025-04-03,21.020000,21.180000,20.180000,20.180000,39685300,False,21.517143,21.656747,20.097550,-0.116512,22.632733,20.978267,0.025591,-0.142103,9089635.000000,0.310714,,,,,,,,,,,,,,,,,1272.870000,1277.900000,1229.410000,1229.840000,1594166624,1342.460000,1342.460000,1282.990000,1283.180000,811106220,237.590000,237.590000,219.130000,220.950000,145329341,98.500000,98.500000,89.590000,90.580000,134951655,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
ACB,Ngân hàng TMCP Á Châu,,,2025-04-04,18.970000,19.890000,18.800000,19.890000,72249400,False,21.237143,21.496134,18.077221,-0.240394,22.849134,20.523866,-0.027606,-0.212788,12166830.000000,0.395000,,,,,,,,,,,,,,,,,1159.330000,1210.670000,1158.170000,1210.670000,1777882039,1269.060000,1280.520000,1208.420000,1280.520000,867856431,220.740000,220.950000,206.090000,216.970000,128716092,90.580000,91.130000,87.070000,91.130000,94321137,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
ACB,Ngân hàng TMCP Á Châu,,,2025-04-08,19.300000,19.470000,18.510000,18.510000,43676900,False,20.777143,21.224667,11.930876,-0.444798,23.324773,19.689227,-0.111045,-0.333754,13925935.000000,0.472143,,,,,,,,,,,,,,,,,1173.140000,1174.400000,1130.980000,1132.790000,989102100,1241.580000,1245.510000,1193.470000,1197.510000,558266636,216.970000,216.970000,200.400000,201.040000,84218834,91.130000,91.140000,84.110000,84.500000,83235105,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
ACB,Ngân hàng TMCP Á Châu,,,2025-04-09,17.340000,19.090000,17.340000,18.220000,36854500,False,20.282857,20.951516,11.078429,-0.623009,23.625229,19.000771,-0.213437,-0.409571,15311560.000000,0.582143,,,,,,,,,,,,,,,,,1073.610000,1141.350000,1073.610000,1094.300000,1464120095,1182.910000,1220.730000,1133.900000,1168.680000,667720931,200.970000,200.970000,190.830000,192.580000,119324195,84.420000,85.350000,82.730000,84.410000,68492373,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
ACB,Ngân hàng TMCP Á Châu,,,2025-04-10,19.470000,19.470000,19.470000,19.470000,996700,False,19.960000,20.816832,33.224957,-0.655818,23.616802,18.758198,-0.301914,-0.353904,14971585.000000,0.653571,,,,,,,,,,,,,,,,,1166.090000,1168.400000,1165.860000,1168.340000,215166632,1248.920000,1249.290000,1248.100000,1249.290000,55435201,192.450000,208.460000,191.980000,208.320000,51096910,84.720000,92.930000,84.720000,92.840000,38678362,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
ACB,Ngân hàng TMCP Á Châu,,,2025-04-11,20.720000,20.810000,20.010000,20.770000,35983500,False,19.817143,20.812575,47.788911,-0.570345,23.553193,18.717807,-0.355600,-0.214745,16326485.000000,0.737143,,,,,,,,,,,,,,,,,1185.860000,1222.460000,1180.590000,1222.460000,1617665830,1268.120000,1310.020000,1265.260000,1309.940000,743354518,208.720000,215.830000,207.240000,213.340000,133912155,92.840000,94.430000,91.680000,93.250000,93635657,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
ACB,Ngân hàng TMCP Á Châu,,,2025-04-14,20.770000,21.180000,20.560000,20.720000,19363500,False,19.680000,20.804159,47.361055,-0.500869,23.492580,18.677420,-0.384654,-0.116215,16717230.000000,0.763571,,,,,,,,,,,,,,,,,1235.010000,1242.940000,1226.060000,1241.440000,913684312,1318.170000,1329.060000,1310.630000,1325.870000,394180470,212.500000,215.870000,212.430000,215.000000,87417697,93.250000,93.340000,91.310000,91.760000,38426451,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
ACB,Ngân hàng TMCP Á Châu,,,2025-04-15,20.560000,20.640000,20.140000,20.140000,14721800,False,19.674286,20.743781,42.596846,-0.486995,23.409094,18.585906,-0.405122,-0.081873,17170100.000000,0.787143,,,,,,,,,,,,,,,,,1232.640000,1246.210000,1221.750000,1227.790000,939049220,1314.300000,1329.990000,1303.290000,1310.760000,385242095,214.970000,214.970000,210.060000,210.240000,70911943,91.760000,92.380000,90.520000,91.030000,43021683,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
ACB,Ngân hàng TMCP Á Châu,,,2025-04-16,20.430000,20.640000,20.180000,20.310000,11032100,False,19.734286,20.704346,44.363434,-0.457015,23.297844,18.530156,-0.415501,-0.041514,17421280.000000,0.802143,,,,,,,,,,,,,,,,,1225.290000,1233.840000,1205.930000,1210.300000,713035992,1310.070000,1318.860000,1288.060000,1293.250000,286928695,209.360000,211.460000,208.480000,209.410000,53232590,91.040000,91.420000,90.190000,90.390000,32533231,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
ACB,Ngân hàng TMCP Á Châu,,,2025-04-17,20.470000,20.510000,20.140000,20.310000,10139900,False,19.991429,20.668497,44.363434,-0.428318,23.187168,18.482832,-0.418064,-0.010254,17532595.000000,0.813571,,,,,,,,,,,,,,,,,1201.630000,1217.250000,1197.500000,1217.250000,657997453,1286.110000,1304.470000,1283.470000,1303.030000,278893951,209.370000,209.940000,207.600000,209.580000,54480052,90.390000,90.570000,89.930000,90.530000,26857152,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
ACB,Ngân hàng TMCP Á Châu,,,2025-04-18,20.470000,20.680000,20.430000,20.470000,10996500,False,20.312857,20.650451,46.171653,-0.388189,23.061104,18.462896,-0.412089,0.023900,17839290.000000,0.827857,,,,,,,,,,,,,,,,,1228.370000,1234.670000,1219.120000,1219.120000,977508165,1313.420000,1322.260000,1306.240000,1306.240000,409781269,209.580000,214.790000,208.530000,213.100000,92189777,90.530000,91.760000,90.300000,91.300000,49272746,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
ACB,Ngân hàng TMCP Á Châu,,,2025-04-21,20.350000,20.470000,20.140000,20.140000,7246000,False,20.408571,20.604047,43.062991,-0.378651,22.938312,18.418688,-0.405401,0.026750,17994995.000000,0.839286,,,,,,,,,,,,,,,,,1220.380000,1222.770000,1201.630000,1207.070000,771247128,1305.810000,1310.590000,1287.020000,1294.290000,327239496,211.620000,213.960000,210.700000,211.470000,62526920,91.320000,91.810000,90.730000,90.900000,29571311,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
ACB,Ngân hàng TMCP Á Châu,,,2025-04-22,20.310000,20.390000,18.930000,20.140000,13607200,False,20.318571,20.561861,43.062991,-0.366863,22.764345,18.404655,-0.397694,0.030831,18280940.000000,0.934286,,,,,,,,,,,,,,,,,1201.380000,1203.820000,1136.980000,1197.130000,1551077089,1287.550000,1292.670000,1216.350000,1290.380000,641676880,211.050000,211.300000,199.790000,207.710000,119847863,90.910000,91.150000,87.160000,89.670000,68216632,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
ACB,Ngân hàng TMCP Á Châu,,,2025-04-23,20.560000,20.560000,20.180000,20.560000,6832100,False,20.295714,20.561692,48.209934,-0.319942,22.592116,18.434884,-0.382143,0.062201,18342680.000000,0.946429,,,,,,,,,,,,,,,,,1215.650000,1216.280000,1202.270000,1211.000000,732740068,1300.250000,1311.720000,1290.380000,1303.040000,347261298,206.550000,211.650000,205.500000,211.450000,59850621,89.710000,91.470000,89.710000,91.460000,37556775,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
ACB,Ngân hàng TMCP Á Châu,,,2025-04-24,20.390000,20.510000,20.180000,20.180000,6476600,False,20.301429,20.526992,44.307373,-0.309848,22.414604,18.445396,-0.367684,0.057836,18294815.000000,0.866429,,,,,,,,,,,,,,,,,1214.780000,1224.660000,1210.370000,1223.350000,700062627,1306.430000,1313.930000,1297.210000,1311.660000,292080861,211.140000,213.320000,210.340000,211.070000,60455583,91.460000,92.090000,91.050000,91.830000,40625668,NO_NEWS_IN_RANGE_FROM_VNSTOCK,NO_EVENT_IN_RANGE_FROM_VNSTOCK,NO_GOOGLE_NEWS_IN_RANGE
