symbol,company_name,sector,industry,data_date,open_price,high_price,low_price,close_price,volume,sma_7,ema_21,rsi_14,macd,micro_pe,micro_pb,micro_roe,micro_roa,micro_eps,micro_eps_ttm,micro_de,micro_current_ratio,micro_quick_ratio,micro_gross_margin,micro_net_profit_margin,macro_vnindex_open,macro_vnindex_high,macro_vnindex_low,macro_vnindex_close,macro_vnindex_volume,macro_vn30_open,macro_vn30_high,macro_vn30_low,macro_vn30_close,macro_vn30_volume,macro_hnxindex_open,macro_hnxindex_high,macro_hnxindex_low,macro_hnxindex_close,macro_hnxindex_volume,macro_upcomindex_open,macro_upcomindex_high,macro_upcomindex_low,macro_upcomindex_close,macro_upcomindex_volume,news_headlines,event_headlines
CTG,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng,Ngân hàng,2025-04-01,28.570000,28.700000,28.150000,28.700000,4740061,28.620000,28.806996,48.935351,-0.172403,7.810829,1.514664,0.212526,0.013534,4455.353138,4455.353138,0.000000,0.000000,0.000000,0.000000,0.520734,1313.030000,1317.460000,1308.060000,1317.330000,516351102,1369.180000,1376.910000,1363.600000,1376.910000,212343999,235.010000,236.500000,233.200000,236.420000,46287808,98.050000,98.490000,97.910000,98.470000,31890425,,
CTG,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng,Ngân hàng,2025-04-02,28.770000,29.010000,28.600000,28.770000,5579075,28.634286,28.803633,50.912289,-0.152794,7.810829,1.514664,0.212526,0.013534,4455.353138,4455.353138,0.000000,0.000000,0.000000,0.000000,0.520734,1321.530000,1324.460000,1317.680000,1317.830000,668744030,1381.030000,1384.380000,1376.540000,1376.940000,236793252,236.430000,238.570000,236.050000,238.130000,49264256,98.470000,98.960000,98.400000,98.640000,37296794,,
CTG,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng,Ngân hàng,2025-04-03,27.910000,27.910000,26.780000,26.780000,19848285,28.315714,28.619666,23.298082,-0.294435,7.810829,1.514664,0.212526,0.013534,4455.353138,4455.353138,0.000000,0.000000,0.000000,0.000000,0.520734,1272.870000,1277.900000,1229.410000,1229.840000,1594166624,1342.460000,1342.460000,1282.990000,1283.180000,811106220,237.590000,237.590000,219.130000,220.950000,145329341,98.500000,98.500000,89.590000,90.580000,134951655,,
CTG,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng,Ngân hàng,2025-04-04,24.930000,26.540000,24.930000,26.540000,17701874,28.015714,28.430606,21.764848,-0.421198,7.810829,1.514664,0.212526,0.013534,4455.353138,4455.353138,0.000000,0.000000,0.000000,0.000000,0.520734,1159.330000,1210.670000,1158.170000,1210.670000,1777882039,1269.060000,1280.520000,1208.420000,1280.520000,867856431,220.740000,220.950000,206.090000,216.970000,128716092,90.580000,91.130000,87.070000,91.130000,94321137,,
CTG,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng,Ngân hàng,2025-04-08,24.760000,26.200000,24.690000,24.690000,18699366,27.467143,28.090551,14.075411,-0.663292,7.810829,1.514664,0.212526,0.013534,4455.353138,4455.353138,0.000000,0.000000,0.000000,0.000000,0.520734,1173.140000,1174.400000,1130.980000,1132.790000,989102100,1241.580000,1245.510000,1193.470000,1197.510000,558266636,216.970000,216.970000,200.400000,201.040000,84218834,91.130000,91.140000,84.110000,84.500000,83235105,,
CTG,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng,Ngân hàng,2025-04-09,23.180000,25.380000,23.180000,23.180000,17513425,26.727143,27.644137,10.740095,-0.965864,7.810829,1.514664,0.212526,0.013534,4455.353138,4455.353138,0.000000,0.000000,0.000000,0.000000,0.520734,1073.610000,1141.350000,1073.610000,1094.300000,1464120095,1182.910000,1220.730000,1133.900000,1168.680000,667720931,200.970000,200.970000,190.830000,192.580000,119324195,84.420000,85.350000,82.730000,84.410000,68492373,,
CTG,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng,Ngân hàng,2025-04-10,24.790000,24.790000,24.790000,24.790000,2908401,26.207143,27.384670,29.831976,-1.063481,7.810829,1.514664,0.212526,0.013534,4455.353138,4455.353138,0.000000,0.000000,0.000000,0.000000,0.520734,1166.090000,1168.400000,1165.860000,1168.340000,215166632,1248.920000,1249.290000,1248.100000,1249.290000,55435201,192.450000,208.460000,191.980000,208.320000,51096910,84.720000,92.930000,84.720000,92.840000,38678362,,
CTG,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng,Ngân hàng,2025-04-11,25.380000,26.410000,25.070000,26.340000,20255898,25.870000,27.289700,42.568069,-1.004196,7.810829,1.514664,0.212526,0.013534,4455.353138,4455.353138,0.000000,0.000000,0.000000,0.000000,0.520734,1185.860000,1222.460000,1180.590000,1222.460000,1617665830,1268.120000,1310.020000,1265.260000,1309.940000,743354518,208.720000,215.830000,207.240000,213.340000,133912155,92.840000,94.430000,91.680000,93.250000,93635657,,
CTG,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng,Ngân hàng,2025-04-14,26.470000,26.470000,25.960000,26.270000,9757147,25.512857,27.197000,42.195579,-0.951888,7.810829,1.514664,0.212526,0.013534,4455.353138,4455.353138,0.000000,0.000000,0.000000,0.000000,0.520734,1235.010000,1242.940000,1226.060000,1241.440000,913684312,1318.170000,1329.060000,1310.630000,1325.870000,394180470,212.500000,215.870000,212.430000,215.000000,87417697,93.250000,93.340000,91.310000,91.760000,38426451,,
CTG,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng,Ngân hàng,2025-04-15,25.930000,26.060000,25.510000,25.890000,10259616,25.385714,27.078182,40.142050,-0.930371,7.810829,1.514664,0.212526,0.013534,4455.353138,4455.353138,0.000000,0.000000,0.000000,0.000000,0.520734,1232.640000,1246.210000,1221.750000,1227.790000,939049220,1314.300000,1329.990000,1303.290000,1310.760000,385242095,214.970000,214.970000,210.060000,210.240000,70911943,91.760000,92.380000,90.520000,91.030000,43021683,,
